country,iso3,stroke_daly_thousands
Afghanistan,AFG,615.681013777029
Albania,ALB,90.0047739061515
Algeria,DZA,495.033181491884
Angola,AGO,462.026551929005
Antigua and Barbuda,ATG,0.781512263491823
Argentina,ARG,480.80557685232
Armenia,ARM,55.8576849775012
Australia,AUS,188.56117041873
Austria,AUT,98.5477036230795
Azerbaijan,AZE,139.272817985476
Bahamas,BHS,6.61717432618919
Bahrain,BHR,11.4679935425286
Bangladesh,BGD,3119.73132674438
Barbados,BRB,4.98416463915617
Belarus,BLR,295.466795557293
Belgium,BEL,113.580196450131
Belize,BLZ,2.97729195537789
Benin,BEN,215.654554191677
Bhutan,BTN,7.71066349964814
Bolivia (Plurinational State of),BOL,149.496704400872
Bosnia and Herzegovina,BIH,153.51080293332
Botswana,BWA,29.1084973323636
Brazil,BRA,2872.25955104705
Brunei Darussalam,BRN,5.72707702523562
Bulgaria,BGR,426.63822288818
Burkina Faso,BFA,265.365805542727
Burundi,BDI,175.131305396575
Cabo Verde,CPV,9.29062488768434
Cambodia,KHM,464.87593827674
Cameroon,CMR,448.490557040846
Canada,CAN,318.225646178812
Central African Republic,CAF,78.7560103335252
Chad,TCD,251.625114135539
Chile,CHL,218.079823475248
China,CHN,52906.876885744
Colombia,COL,380.842830978726
Comoros,COM,12.9368970101248
Congo,COG,69.1235189448451
Costa Rica,CRI,34.5910400775102
Côte d'Ivoire,CIV,436.456467606157
Croatia,HRV,87.6945108555832
Cuba,CUB,208.871330112828
Cyprus,CYP,8.88723411435281
Czechia,CZE,153.947578331641
Democratic People's Republic of Korea,PRK,1405.00635478439
Democratic Republic of the Congo,COD,1359.68523722456
Denmark,DNK,62.4551719744424
Djibouti,DJI,21.5209267164074
Dominican Republic,DOM,150.540726662287
Ecuador,ECU,164.307218389789
Egypt,EGY,1721.06119838004
El Salvador,SLV,41.521627412067
Equatorial Guinea,GNQ,18.1029379305712
Eritrea,ERI,80.8217942432313
Estonia,EST,21.4460945018766
Eswatini,SWZ,26.0268480958172
Ethiopia,ETH,1027.13931054741
Fiji,FJI,21.300498197002
Finland,FIN,80.6408149987444
France,FRA,650.059786832144
Gabon,GAB,24.4429994760922
Gambia,GMB,40.4165325481106
Georgia,GEO,213.565957535939
Germany,DEU,1123.62287150556
Ghana,GHA,695.832641690729
Greece,GRC,223.971618468095
Grenada,GRD,2.1722960954511
Guatemala,GTM,101.048781912138
Guinea,GIN,242.374822419771
Guinea-Bissau,GNB,40.6255774601165
Guyana,GUY,15.280072535291
Haiti,HTI,329.288269596623
Honduras,HND,111.06767094008
Hungary,HUN,223.658481486282
Iceland,ISL,2.42769687505157
India,IND,20653.1002209365
Indonesia,IDN,9998.01552316056
Iran (Islamic Republic of),IRN,815.453631491723
Iraq,IRQ,620.903178781977
Ireland,IRL,31.7752486652805
Israel,ISR,48.8307067685112
Italy,ITA,807.318908993755
Jamaica,JAM,65.3608229120501
Japan,JPN,2317.38657840058
Jordan,JOR,66.910410892251
Kazakhstan,KAZ,500.792996163221
Kenya,KEN,428.156116935851
Kiribati,KIR,4.73668297509576
Kuwait,KWT,21.3747184092299
Kyrgyzstan,KGZ,98.385727804265
Lao People's Democratic Republic,LAO,182.097832064242
Latvia,LVA,86.3727322327152
Lebanon,LBN,52.0586967638973
Lesotho,LSO,68.5595521176185
Liberia,LBR,78.1180838513266
Libya,LBY,89.5927557334877
Lithuania,LTU,89.6417244654648
Luxembourg,LUX,4.03021342860422
Madagascar,MDG,667.505972444204
Malawi,MWI,273.47449905046
Malaysia,MYS,688.202729656645
Maldives,MDV,7.71644152451315
Mali,MLI,251.388222047081
Malta,MLT,4.03743339944892
Mauritania,MRT,55.1544201686181
Mauritius,MUS,29.3291680813053
Mexico,MEX,782.032627108703
Micronesia (Federated States of),FSM,4.15766162764127
Mongolia,MNG,80.0107958178588
Montenegro,MNE,25.5836829559797
Morocco,MAR,724.676286896499
Mozambique,MOZ,712.881807464154
Myanmar,MMR,1679.53586765515
Namibia,NAM,36.0720372278022
Nepal,NPL,348.341985587866
Netherlands,NLD,178.224114504144
New Zealand,NZL,41.967012396103
Nicaragua,NIC,21.8095903901679
Niger,NER,342.935070801271
Nigeria,NGA,2191.5859166571
North Macedonia,MKD,79.8496020188964
Norway,NOR,45.2101074924172
"occupied Palestinian territory, including east Jerusalem",PSE,46.7296632267622
Oman,OMN,27.972867624427
Pakistan,PAK,3314.47959067187
Panama,PAN,38.8562860332349
Papua New Guinea,PNG,170.821543304306
Paraguay,PRY,70.520389260732
Peru,PER,259.197595422434
Philippines,PHL,2979.19011450415
Poland,POL,695.378822474293
Portugal,PRT,175.038703771524
Puerto Rico,PRI,28.591726660138
Qatar,QAT,10.9939095863537
Republic of Korea,KOR,655.404134738457
Republic of Moldova,MDA,126.848314086496
Romania,ROU,858.13902933152
Russian Federation,RUS,5805.36319651611
Rwanda,RWA,205.50461943643
Saint Lucia,LCA,3.0232691310921
Saint Vincent and the Grenadines,VCT,2.24656754375632
Samoa,WSM,5.30688978317263
Sao Tome and Principe,STP,3.12836722466446
Saudi Arabia,SAU,100.889536681064
Senegal,SEN,259.532518810502
Serbia,SRB,276.395024899246
Seychelles,SYC,2.13693366525075
Sierra Leone,SLE,174.196435148569
Singapore,SGP,40.7387194965837
Slovakia,SVK,104.874995456795
Slovenia,SVN,30.1384779594789
Solomon Islands,SLB,25.6962210296978
Somalia,SOM,287.886963267433
South Africa,ZAF,1113.37481509489
South Sudan,SSD,147.751436180054
Spain,ESP,474.179084778986
Sri Lanka,LKA,476.966350244362
Sudan,SDN,565.167567171349
Suriname,SUR,11.2230042135322
Sweden,SWE,101.198442202559
Switzerland,CHE,64.0621741704121
Syrian Arab Republic,SYR,245.813652449829
Tajikistan,TJK,125.428210626658
Thailand,THA,1899.40595579008
Timor-Leste,TLS,31.2464006312061
Togo,TGO,181.94145822568
Tonga,TON,1.52903971568204
Trinidad and Tobago,TTO,24.6864906607014
Tunisia,TUN,149.76097670838
Türkiye,TUR,1065.13804761196
Turkmenistan,TKM,164.682229869825
Uganda,UGA,373.714871307602
Ukraine,UKR,1739.90013082579
United Arab Emirates,ARE,42.1619829241236
United Kingdom,GBR,646.695162104148
United Republic of Tanzania,TZA,585.658036920885
United States of America,USA,3793.33772230846
Uruguay,URY,54.8247551664879
Uzbekistan,UZB,646.856330092036
Vanuatu,VUT,8.69170455241112
Venezuela (Bolivarian Republic of),VEN,369.367894930483
Viet Nam,VNM,3703.31682733009
Yemen,YEM,515.015772542843
Zambia,ZMB,229.971346335598
Zimbabwe,ZWE,290.116730665188
